,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",0.0,3.0468345845485498e-12,5.374105901181487e-06,1.2586858113779605e-08
"[5.0, 45.0, 35.0, 75.0]",2.5997373845462695e-08,0.0,0.0,0.0
"[5.0, 85.0, 35.0, 115.0]",0.0,0.0,-0.029701,0.0
terminal,0.0,0.0,0.0,0.0
"[45.0, 5.0, 75.0, 35.0]",6.621922962339738e-07,0.0,8.138135664925776e-05,5.615912810369971e-12
"[45.0, 45.0, 75.0, 75.0]",0.0,-0.01,-0.029701,0.0
"[5.0, 125.0, 35.0, 155.0]",0.0,0.0,0.0,0.0
"[45.0, 125.0, 75.0, 155.0]",-0.01,0.0,0.0,0.0
"[85.0, 5.0, 115.0, 35.0]",3.4033549580801054e-06,-0.03940399,0.0010311982792226078,8.845714360619117e-08
"[85.0, 125.0, 115.0, 155.0]",0.0,0.0,0.0,0.0
"[125.0, 125.0, 155.0, 155.0]",0.0015026112595446584,8.100000000000001e-07,0.0,0.0
"[125.0, 85.0, 155.0, 115.0]",0.0006727863962670275,8.100000000000001e-07,0.00513509610130311,0.3827098590577118
"[125.0, 5.0, 155.0, 35.0]",3.0991127451831006e-07,0.010508969297486598,2.455584166784844e-06,4.378233030725791e-09
"[125.0, 45.0, 155.0, 75.0]",2.1257312022900006e-07,0.07848278296408817,0.0,-0.01
