,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",0.0,0.0,6.069572871076718e-07,0.0
"[5.0, 45.0, 35.0, 75.0]",3.3853717606094995e-10,0.0,0.0,0.0
"[5.0, 85.0, 35.0, 115.0]",0.0,0.0,-0.029701,0.0
terminal,0.0,0.0,0.0,0.0
"[45.0, 5.0, 75.0, 35.0]",2.0418279400894866e-10,0.0,1.4081493479342965e-05,5.615912810369971e-12
"[45.0, 45.0, 75.0, 75.0]",0.0,-0.01,-0.029701,0.0
"[5.0, 125.0, 35.0, 155.0]",0.0,0.0,0.0,0.0
"[45.0, 125.0, 75.0, 155.0]",-0.01,0.0,0.0,0.0
"[85.0, 5.0, 115.0, 35.0]",7.235305913011289e-07,-0.03940399,0.00023641963594968658,8.845714360619117e-08
"[85.0, 125.0, 115.0, 155.0]",0.0,0.0,0.0,0.0
"[125.0, 125.0, 155.0, 155.0]",0.0015026112595446584,8.100000000000001e-07,0.0,0.0
"[125.0, 85.0, 155.0, 115.0]",0.0006727863962670275,8.100000000000001e-07,0.00513509610130311,0.28226946740172487
"[125.0, 5.0, 155.0, 35.0]",3.0991127451831006e-07,0.0035572306175230607,2.455584166784844e-06,4.378233030725791e-09
"[125.0, 45.0, 155.0, 75.0]",2.1257312022900006e-07,0.04268458093970999,0.0,-0.01
