,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",0.0,0.0,3.458341831216677e-09,0.0
"[5.0, 45.0, 35.0, 75.0]",0.0,0.0,0.0,0.0
"[5.0, 85.0, 35.0, 115.0]",0.0,0.0,-0.029701,0.0
terminal,0.0,0.0,0.0,0.0
"[45.0, 5.0, 75.0, 35.0]",2.0418279400894866e-10,0.0,1.7509967151695434e-07,5.615912810369971e-12
"[45.0, 45.0, 75.0, 75.0]",0.0,-0.01,-0.029701,0.0
"[5.0, 125.0, 35.0, 155.0]",0.0,0.0,0.0,0.0
"[45.0, 125.0, 75.0, 155.0]",-0.01,0.0,0.0,0.0
"[85.0, 5.0, 115.0, 35.0]",2.4331182235833027e-08,-0.029701,7.22846034554529e-06,0.0
"[85.0, 125.0, 115.0, 155.0]",0.0,0.0,0.0,0.0
"[125.0, 125.0, 155.0, 155.0]",9e-05,0.0,0.0,0.0
"[125.0, 85.0, 155.0, 115.0]",0.0,0.0,0.00061927182,0.1312541872310217
"[125.0, 5.0, 155.0, 35.0]",3.0991127451831006e-07,0.00027284268519831603,0.0,4.378233030725791e-09
"[125.0, 45.0, 155.0, 75.0]",2.1257312022900006e-07,0.007481344971595106,0.0,-0.01
