,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",0.0,0.0,1.1269444247912633e-10,0.0
"[5.0, 45.0, 35.0, 75.0]",0.0,0.0,0.0,0.0
"[5.0, 85.0, 35.0, 115.0]",0.0,0.0,-0.029701,0.0
terminal,0.0,0.0,0.0,0.0
"[45.0, 5.0, 75.0, 35.0]",2.0788782082650004e-11,0.0,2.0400211083013906e-08,0.0
"[45.0, 45.0, 75.0, 75.0]",0.0,-0.01,-0.029701,0.0
"[5.0, 125.0, 35.0, 155.0]",0.0,0.0,0.0,0.0
"[45.0, 125.0, 75.0, 155.0]",-0.01,0.0,0.0,0.0
"[85.0, 5.0, 115.0, 35.0]",0.0,-0.0199,1.8519349097559342e-06,0.0
"[85.0, 125.0, 115.0, 155.0]",0.0,0.0,0.0,0.0
"[125.0, 125.0, 155.0, 155.0]",9e-05,0.0,0.0,0.0
"[125.0, 85.0, 155.0, 115.0]",0.0,0.0,0.00061927182,0.09561792499119551
"[125.0, 5.0, 155.0, 35.0]",3.0991127451831006e-07,9.667212580132903e-05,0.0,4.378233030725791e-09
"[125.0, 45.0, 155.0, 75.0]",2.1257312022900006e-07,0.0037565331960497657,0.0,-0.01
