,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",4.836695311063339e-08,9.253480283410326e-10,0.0001257735256596023,1.5030013620935455e-07
"[5.0, 45.0, 35.0, 75.0]",3.3947493303578435e-07,0.0,0.0,0.0
"[5.0, 85.0, 35.0, 115.0]",0.0,0.0,-0.029701,0.0
terminal,0.0,0.0,0.0,0.0
"[45.0, 5.0, 75.0, 35.0]",1.7304399326664377e-06,0.0,0.0010371997686293938,7.20021706382802e-07
"[45.0, 45.0, 75.0, 75.0]",0.0,-0.01,-0.029701,2.3397636460916423e-10
"[5.0, 125.0, 35.0, 155.0]",0.0,0.0,0.0,0.0
"[45.0, 125.0, 75.0, 155.0]",-0.01,0.0,0.0,0.0
"[85.0, 5.0, 115.0, 35.0]",3.4033549580801054e-06,-0.03940399,0.007471352270604,8.845714360619117e-08
"[85.0, 125.0, 115.0, 155.0]",0.0,0.0,0.0,0.0
"[125.0, 125.0, 155.0, 155.0]",0.0015026112595446584,8.100000000000001e-07,0.0,0.0
"[125.0, 85.0, 155.0, 115.0]",0.002234106938796945,8.100000000000001e-07,0.00513509610130311,0.5657686732081881
"[125.0, 5.0, 155.0, 35.0]",3.0991127451831006e-07,0.043490913061762414,0.0003404624889045351,4.378233030725791e-09
"[125.0, 45.0, 155.0, 75.0]",0.0003182975734397999,0.18703569901969186,0.0011987982383825635,-0.01
